Year,GrandPrix,Driver,Team,GridPosition,is_winner,is_top3,points,LapTime,Sector1Time,Sector2Time,Sector3Time,TyreLife,speed,rpm,driver_form,team_performance,track_history
2021,Hungary,BOT,Mercedes,,0,1,226.0,84.9864,28.94,31.487,23.701,1.0,327.0,6659.681871345029,226.0,1227.0,0.0
2021,Hungary,GAS,AlphaTauri,,0,0,110.0,84.39485074626866,28.653,27.691,22.05,38.0,327.0,6659.681871345029,110.0,284.0,0.0
2021,Hungary,GIO,Alfa Romeo Racing,,0,0,3.0,85.23951515151515,29.37,29.455,23.192,36.0,327.0,6659.681871345029,3.0,26.0,0.0
2021,Hungary,HAM,Mercedes,9.0,0,1,387.5,83.46228358208955,28.491,28.012,22.14,28.0,327.0,6659.681871345029,387.5,1453.0,0.0
2021,Hungary,LAT,Williams,,0,0,7.0,84.74125373134328,29.558,29.596,23.381,47.0,327.0,6659.681871345029,7.0,46.0,0.0
2021,Hungary,LEC,Ferrari,2.0,0,0,159.0,84.9864,28.94,31.487,23.701,1.0,327.0,6659.681871345029,159.0,647.0,0.0
2021,Hungary,MAZ,Haas F1 Team,,0,0,0.0,84.9864,62.914,44.326,37.606,1.0,327.0,6659.681871345029,0.0,0.0,0.0
2021,Hungary,MSC,Haas F1 Team,,0,0,0.0,85.30368181818181,29.735,29.279,23.334,35.0,327.0,6659.681871345029,0.0,0.0,0.0
2021,Hungary,NOR,McLaren,7.0,0,0,160.0,84.9864,72.798,47.764,40.521,1.0,327.0,6659.681871345029,160.0,550.0,0.0
2021,Hungary,OCO,Alpine,,0,0,74.0,83.62779104477612,29.404,28.708,23.075,34.0,327.0,6659.681871345029,74.0,391.0,0.0
2021,Hungary,PER,Red Bull Racing,5.0,0,0,190.0,84.9864,28.94,31.487,23.701,1.0,327.0,6659.681871345029,190.0,1171.0,0.0
2021,Hungary,RAI,Alfa Romeo Racing,,0,0,10.0,84.99081818181818,29.001,29.047,22.936,38.0,327.0,6659.681871345029,10.0,29.0,0.0
2021,Hungary,RIC,McLaren,,0,0,115.0,85.13712121212122,29.532,29.433,23.426,49.0,327.0,6659.681871345029,115.0,710.0,0.0
2021,Hungary,RUS,Williams,3.0,0,0,16.0,84.65841791044775,29.533,29.178,23.247,49.0,327.0,6659.681871345029,16.0,53.0,0.0
2021,Hungary,SAI,Ferrari,4.0,0,0,164.5,83.82720895522388,29.409,28.81,23.082,38.0,327.0,6659.681871345029,164.5,806.0,0.0
2021,Hungary,STR,Aston Martin,,0,0,34.0,84.9864,28.94,31.487,23.701,1.0,327.0,6659.681871345029,34.0,154.0,0.0
2021,Hungary,TSU,AlphaTauri,,0,0,32.0,84.72180597014925,29.659,29.264,22.988,48.0,327.0,6659.681871345029,32.0,394.0,0.0
2021,Hungary,VER,Red Bull Racing,1.0,1,1,395.5,84.6211791044776,29.012,28.741,22.735,35.0,327.0,6659.681871345029,395.5,1361.0,0.0
2021,Hungary,VET,Aston Martin,,0,0,43.0,83.64611940298508,29.233,28.511,22.557,34.0,327.0,6659.681871345029,43.0,188.0,0.0
2021,Silverstone,ALO,Alpine,,0,0,81.0,94.81722448979592,29.357,37.037,25.25,28.0,327.0,6659.681871345029,81.0,384.0,0.0
2021,Silverstone,BOT,Mercedes,,0,1,226.0,92.54972916666667,28.844,36.79,24.848,30.0,327.0,6659.681871345029,226.0,1614.5,0.0
2021,Silverstone,GAS,AlphaTauri,,0,0,110.0,94.69920408163266,28.849,36.425,24.411,28.0,327.0,6659.681871345029,110.0,316.0,0.0
2021,Silverstone,GIO,Alfa Romeo Racing,,0,0,3.0,94.93818750000001,29.417,37.534,25.327,28.0,327.0,6659.681871345029,3.0,36.0,0.0
2021,Silverstone,HAM,Mercedes,9.0,0,1,387.5,92.35670833333334,28.698,36.289,24.619,25.0,327.0,6659.681871345029,387.5,1453.0,0.0
2021,Silverstone,LAT,Williams,,0,0,7.0,94.71414583333335,29.349,37.463,25.127,32.0,327.0,6659.681871345029,7.0,62.0,0.0
2021,Silverstone,LEC,Ferrari,2.0,0,0,159.0,92.46235416666667,29.04,36.671,24.766,27.0,327.0,6659.681871345029,159.0,811.5,0.0
2021,Silverstone,MAZ,Haas F1 Team,,0,0,0.0,95.7055625,29.633,37.63,25.519,26.0,327.0,6659.681871345029,0.0,0.0,0.0
2021,Silverstone,MSC,Haas F1 Team,,0,0,0.0,96.08681250000001,29.298,37.813,25.172,27.0,327.0,6659.681871345029,0.0,0.0,0.0
2021,Silverstone,NOR,McLaren,7.0,0,0,160.0,92.92689583333333,29.101,36.976,24.527,31.0,327.0,6659.681871345029,160.0,665.0,0.0
2021,Silverstone,OCO,Alpine,,0,0,74.0,94.6887142857143,29.33,37.319,25.283,33.0,327.0,6659.681871345029,74.0,391.0,0.0
2021,Silverstone,PER,Red Bull Racing,5.0,0,0,190.0,94.56120833333334,28.547,35.631,24.401,20.0,327.0,6659.681871345029,190.0,1566.5,0.0
2021,Silverstone,RAI,Alfa Romeo Racing,,0,0,10.0,95.29122916666667,29.513,37.139,25.019,33.0,327.0,6659.681871345029,10.0,29.0,0.0
2021,Silverstone,RIC,McLaren,,0,0,115.0,93.18347916666666,29.404,36.729,24.726,32.0,327.0,6659.681871345029,115.0,710.0,0.0
2021,Silverstone,RUS,Williams,3.0,0,0,16.0,94.76054166666667,29.32,37.339,24.708,33.0,327.0,6659.681871345029,16.0,53.0,0.0
2021,Silverstone,SAI,Ferrari,4.0,0,0,164.5,94.17820408163266,29.042,36.759,24.704,26.0,327.0,6659.681871345029,164.5,806.0,0.0
2021,Silverstone,STR,Aston Martin,,0,0,34.0,94.58995918367347,29.042,37.28,25.316,31.0,327.0,6659.681871345029,34.0,197.0,0.0
2021,Silverstone,TSU,AlphaTauri,,0,0,32.0,94.44879591836735,29.059,36.693,24.998,30.0,327.0,6659.681871345029,32.0,394.0,0.0
2021,Silverstone,VER,Red Bull Racing,1.0,1,1,395.5,84.9864,28.94,31.487,23.701,1.0,327.0,6659.681871345029,395.5,1361.0,0.0
2021,Silverstone,VET,Aston Martin,,0,0,43.0,94.65586111111111,29.074,37.876,25.155,24.0,327.0,6659.681871345029,43.0,188.0,0.0
2021,Spain,ALO,Alpine,,0,0,81.0,86.930296875,22.821,30.3,27.677,40.0,327.0,6659.681871345029,81.0,384.0,0.0
2021,Spain,BOT,Mercedes,,0,1,226.0,84.9864,22.067,30.132,27.155,30.0,327.0,6659.681871345029,226.0,1614.5,0.0
2021,Spain,GAS,AlphaTauri,,0,0,110.0,86.412515625,22.669,30.523,27.621,29.0,327.0,6659.681871345029,110.0,316.0,0.0
2021,Spain,GIO,Alfa Romeo Racing,,0,0,3.0,85.55349206349206,23.226,31.139,28.182,34.0,327.0,6659.681871345029,3.0,36.0,0.0
2021,Spain,HAM,Mercedes,9.0,0,1,387.5,84.61504615384615,22.386,30.254,27.184,32.0,327.0,6659.681871345029,387.5,1453.0,0.0
2021,Spain,LAT,Williams,,0,0,7.0,86.854609375,23.22,31.066,28.192,23.0,327.0,6659.681871345029,7.0,62.0,0.0
